integrante,kata,tratamento,wmc,loc,linhas_duplicadas,pct_linhas_duplicadas
integrante-3,kata1-placas,com-ia,9,27,0,0.0
integrante-3,kata4-sku,com-ia,8,28,0,0.0
integrante-3,kata6-senha,com-ia,22,53,0,0.0
integrante-3,kata3-sensor,manual,11,47,0,0.0
integrante-3,kata2-bicicletario,manual,8,30,0,0.0
integrante-3,kata5-chamados,manual,15,52,0,0.0
integrante-2,kata2-bicicletario,com-ia,7,33,0,0.0
integrante-2,kata4-sku,com-ia,20,51,0,0.0
integrante-2,kata5-chamados,com-ia,13,42,0,0.0
integrante-2,kata1-placas,manual,9,27,0,0.0
integrante-2,kata3-sensor,manual,13,45,0,0.0
integrante-2,kata6-senha,manual,26,78,0,0.0
integrante-1,kata1-placas,com-ia,10,30,0,0.0
integrante-1,kata3-sensor,com-ia,10,46,0,0.0
integrante-1,kata6-senha,com-ia,22,51,0,0.0
integrante-1,kata2-bicicletario,manual,7,31,0,0.0
integrante-1,kata4-sku,manual,8,31,0,0.0
integrante-1,kata5-chamados,manual,12,45,0,0.0
